route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10611,3_merged_1235634,1177950,45X - BERLIN TPK FLYER-Stew Leonard's via I-91,0,b_89147,120079
10611,3_merged_1235634,1177951,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_88994,120083
10611,3_merged_1235634,1177952,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89146,120083
10611,3_merged_1235634,1177953,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89146,120083
10611,3_merged_1235634,1177954,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89147,120083
10611,3_merged_1235634,1177955,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89147,120083
10611,3_merged_1235634,1177956,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89147,120083
10611,1_merged_1235633,1177957,45X - BERLIN TPK FLYER-CONNDOT via I-91,0,b_89148,120077
10611,1_merged_1235633,1177958,45X - BERLIN TPK FLYER-CONNDOT via I-91,0,b_89002,120077
10611,1_merged_1235633,1177959,45X - BERLIN TPK FLYER-CONNDOT-Stew Leonard's -Corbin Russwin via I-91,0,b_89149,120080
10611,1_merged_1235633,1177960,45X - BERLIN TPK FLYER-Stew Leonard's via I-91,0,b_89150,120078
10611,1_merged_1235633,1177961,45X - BERLIN TPK FLYER-Stew Leonard's via I-91,0,b_89151,120078
10611,1_merged_1235633,1177962,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89152,120082
10611,1_merged_1235633,1177963,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89153,120082
10611,1_merged_1235633,1177964,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89152,120084
10611,1_merged_1235633,1177965,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89150,120081
10611,1_merged_1235633,1177966,45X - BERLIN TPK FLYER-Downtown Hartford via I-91,1,b_89151,120081
10612,2_merged_1235635,1177967,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177968,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
10612,2_merged_1235635,1177969,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89072,120085
10612,2_merged_1235635,1177970,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1177971,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89069,120085
10612,2_merged_1235635,1177972,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177973,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1177974,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
10612,2_merged_1235635,1177975,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89072,120085
10612,2_merged_1235635,1177976,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1177977,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89069,120085
10612,2_merged_1235635,1177978,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177979,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1177980,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
10612,2_merged_1235635,1177981,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89072,120085
10612,2_merged_1235635,1177982,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1177983,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89069,120085
10612,2_merged_1235635,1177984,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177985,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1177986,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
10612,2_merged_1235635,1177987,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89072,120085
10612,2_merged_1235635,1177988,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1177989,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89069,120085
10612,2_merged_1235635,1177990,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177991,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1177992,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
10612,2_merged_1235635,1177993,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89072,120085
10612,2_merged_1235635,1177994,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89073,120085
10612,2_merged_1235635,1177995,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89069,120085
10612,2_merged_1235635,1177996,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89070,120085
10612,2_merged_1235635,1177997,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89022,120085
10612,2_merged_1235635,1177998,46 - VINE ST-Coventry St-Elizabeth Ave,0,b_89071,120085
